id,doi,display_name,publication_year,type,cited_by_count,open_access__oa_status,host_venue__display_name,primary_location__source__display_name,primary_topic__display_name,primary_topic__field__display_name,primary_topic__subfield__display_name,biblio__volume,biblio__issue,biblio__first_page,biblio__last_page,fwci,authors,institutions,concepts_list,author_name,author_openalex_id
https://openalex.org/W4388702903,https://doi.org/10.3390/aerospace10110960,Data Downloaded via Parachute from a NASA Super-Pressure Balloon,2023,article,8,gold,,Aerospace,Aerospace Engineering and Energy Systems,Engineering,Aerospace Engineering,10,11,960,960,1.937,A. Hynous; A. M. Brown; Ajay S. Gill; Andrew Hunter; Andrew Robertson; Aurélien A. Fraisse; Bradley Holder; C. B. Netterfield; David Harvey; David Lagattuta; Duncan Kennedy; Ellen Sirks; Emaad Paracha; Eric Huff; Georgios N. Vassilakis; Hugo Franco; J. Schmoll; Jacqueline McCleary; Jason Rhodes; Jason S. Anderson; Jason S.-Y. Leung; Johanna M. Nagy; John W. Hartley; Joshua English; L. Javier Romualdez; Lun Li; Mathilde Jauzac; Mohamed M. Shaaban; Nikky Joyce; Paul Clark; R. Massey; Robert B. Salter; Robert Purcaru; Roger M. Smith; Russell Smith; S. Everett; Sarah Roth; Stephen Lishman; Steven J. Benton; Susan F. Redmond; Sut-Ieng Tam; Thuy Vy T. Luu; W. C. Jones,"ARC Centre of Excellence for Dark Matter Particle Physics; BGC Engineering (Canada); California Institute of Technology; Canadian Institute for Theoretical Astrophysics; Durham University; Institute of Astronomy and Astrophysics, Academia Sinica; Jet Propulsion Laboratory; Northeastern University; Observatoire Cantonal de Neuchâtel; Princeton University; The University of Sydney; University of Toronto; Wallops Flight Facility; Washington University in St. Louis; École Polytechnique Fédérale de Lausanne",Astronomy; Balloon; Cardiology; Descent (aeronautics); Geodesy; Geology; Medicine; Meteorology; Physics; Remote sensing; Stratosphere; Telescope,A5063855248,https://openalex.org/A5063855248
https://openalex.org/W3167998412,https://doi.org/10.1016/j.isci.2021.102744,Middle Jurassic stem hynobiids from China shed light on the evolution of basal salamanders,2021,article,16,gold,,iScience,Paleontology and Evolutionary Biology,Earth and Planetary Sciences,Paleontology,24,7,102744,102744,1.804,Jason S. Anderson; Jia Jia; Ke‐Qin Gao,Nanjing Institute of Geology and Paleontology; Peking University; University of Calgary,Basal (medicine); Biochemistry; Biology; Clade; Cladistics; Endocrinology; Evolutionary biology; Fossil Record; Gene; Insulin; Mesozoic; Paleontology; Phylogenetics; Salamander; Structural basin; Zoology,A5063855248,https://openalex.org/A5063855248
https://openalex.org/W3126338961,https://doi.org/10.7717/peerj.10720,"A new elasmosaurid (Sauropterygia: Plesiosauria) from the non-marine to paralic Dinosaur Park Formation of southern Alberta, Canada",2021,article,13,gold,,PeerJ,Paleontology and Evolutionary Biology,Earth and Planetary Sciences,Paleontology,9,,e10720,e10720,1.418,James A. Campbell; Jason S. Anderson; Mark T. Mitchell; Michael J. Ryan,Carleton University; Royal Tyrrell Museum; University of Calgary,Anatomy; Bay; Biology; Fluvial; Genus; Geology; Holotype; Keel; Oceanography; Ordovician; Paleontology; Structural basin; Trilobite; Zoology,A5063855248,https://openalex.org/A5063855248
https://openalex.org/W4413387162,https://doi.org/10.1139/cjes-2025-0009,"Two partial actinopterygian neocrania (occipital ossifications) from Blue Beach, Nova Scotia",2025,article,0,closed,,Canadian Journal of Earth Sciences,Geology and Paleoclimatology Research,Earth and Planetary Sciences,Atmospheric Science,,,,,,Chris F. Mansky; Conrad D. Wilson; Jason S. Anderson,Carleton University; University of Calgary,Geology; Nova scotia; Oceanography; Paleontology,A5063855248,https://openalex.org/A5063855248
https://openalex.org/W3156658696,https://doi.org/10.1038/s41598-021-87027-y,A platysomid occurrence from the Tournaisian of Nova Scotia,2021,article,11,gold,,Scientific Reports,Paleontology and Evolutionary Biology,Earth and Planetary Sciences,Paleontology,11,1,,,0.902,Chris F. Mansky; Conrad D. Wilson; Jason S. Anderson,University of Calgary,Aeronautics; Archaeology; Biology; Carboniferous; Engineering; Geography; Nova (rocket); Nova scotia; Paleontology; Structural basin; Tournaisian; Zoology,A5063855248,https://openalex.org/A5063855248
https://openalex.org/W4306194617,https://doi.org/10.1126/sciadv.abq7669,Ossification patterns of the carpus and tarsus in salamanders and impacts of preaxial dominance on the fin-to-limb transition,2022,article,7,gold,,Science Advances,Amphibian and Reptile Biology,Environmental Science,Global and Planetary Change,8,41,,,0.676,Jason S. Anderson; Jia Jia; Jianping Jiang; Ke‐Qin Gao; Neil H. Shubin; Wenhao Wu,Chengdu Institute of Biology; Chinese Academy of Sciences; Jilin University; Nanjing Institute of Geology and Paleontology; Peking University; University of Calgary; University of Chicago,Anatomy; Biology; Evolutionary biology; Neoteny; Ossification; Paleontology; Tetrapod (structure),A5063855248,https://openalex.org/A5063855248
https://openalex.org/W3173447490,https://doi.org/10.1002/jmor.21391,A multimethod approach to the differentiation of enthesis bone microstructure based on soft tissue type,2021,article,6,green,,Journal of Morphology,Morphological variations and asymmetry,Mathematics,Geometry and Topology,282,9,1362,1373,0.836,A. S. M. Hossain Bari; Jason S. Anderson; Marina L. Gavrilova; S. Amber Whitebone,University of Calgary,Anatomy; Biology; Biomedical engineering; Bone tissue; Composite material; Electron microscope; Enthesis; Genetics; Materials science; Medicine; Microstructure; Morphology (biology); Optics; Pathology; Physics; Soft tissue; Tendon,A5063855248,https://openalex.org/A5063855248
https://openalex.org/W3164834474,https://doi.org/10.1098/rsos.210281,"Locomotory behaviour of early tetrapods from Blue Beach, Nova Scotia, revealed by novel microanatomical analysis",2021,article,4,gold,,Royal Society Open Science,Paleontology and Evolutionary Biology,Earth and Planetary Sciences,Paleontology,8,5,210281,210281,0.387,Chris F. Mansky; Jason S. Anderson; Kendra I. Lennie; Sarah L. Manske,Alberta Bone and Joint Health Institute; Foothills Medical Centre; University of Calgary,Biology; Carboniferous; Devonian; Geology; Late Devonian extinction; Nova scotia; Oceanography; Paleontology; Structural basin; Tetrapod (structure),A5063855248,https://openalex.org/A5063855248
https://openalex.org/W4386918086,https://doi.org/10.1371/journal.pone.0291687,"A review of Coelostegus prothales Carroll and Baird, 1972 from the Upper Carboniferous of the Czech Republic and the interrelationships of basal eureptiles",2023,review,1,gold,,PLoS ONE,Paleontology and Evolutionary Biology,Earth and Planetary Sciences,Paleontology,18,9,e0291687,e0291687,0.152,Daniel Valaška; Jason S. Anderson; Jozef Klembara; Marcello Ruta; Miroslav Hain; Taran Mayer,Comenius University Bratislava; Institute of Measurement Science of the Slovak Academy of Sciences; Slovak Academy of Sciences; University of Calgary; University of Lincoln,Amniote; Anatomy; Biochemistry; Biology; Carboniferous; Clade; Evolutionary biology; Gene; Paleontology; Paraphyly; Phylogenetic tree; Sister group; Skull; Structural basin; Taxon; Vertebrate; Zoology,A5063855248,https://openalex.org/A5063855248
https://openalex.org/W4411398647,https://doi.org/10.1080/02724634.2025.2498453,A new predatory actinopterygian from the Tournaisian of Nova Scotia provides insight into the evolution of actinopterygian feeding,2024,article,0,closed,,Journal of Vertebrate Paleontology,Paleontology and Evolutionary Biology,Earth and Planetary Sciences,Paleontology,44,6,,,0.0,C. Wilson; Chris F. Mansky; Jason S. Anderson,Carleton University; University of Calgary,Archaeology; Biology; Ecology; Geography; Nova scotia; Zoology,A5063855248,https://openalex.org/A5063855248
